BOGOTA D.C.;BOGOTA D.C.;LIC INF SANTA RITA                                                                                  ;CL 31 SUR 39 06;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA TARDE;HEBREO;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;JARD INF MI NUEVO MUNDO;CR. 33A NO.35A-50 SUR;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC PEDAG MARCEL MARCEAU                                                                            ;KR 18 A 4 41 SUR;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL CENCOSISTEMAS                                                                                   ;KR 18 18 68 SUR;MIXTO;MEDIA  BASICA SECUNDARIA;MANANA NOCTURNA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;BTO DE ADULTOS UNAD                                                                                 ;CL 14 SUR 14 23;MIXTO;MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;NOCTURNA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL COOP DEL MAGISTERIO DE CUNDINAMARCA                                                             ;CL 16 BIS SUR 12 C 02;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA COMPLETA;;COOPERATIVO;A
BOGOTA D.C.;BOGOTA D.C.;COL TRIANGULO PALOQUEMAO                                                                            ;KR 29 13 10 PI 2 3 Y 4;MIXTO;MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA NOCTURNA FIN DE SEMANA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL EXTERNADO CULTURAL                                                                              ;CL 1 H BIS 25 A 20;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.; LICEO PEDAGOGICO PROYECTO DE VIDA;CL 6 SUR 26 46;MIXTO;PREESCOLAR  BASICA PRIMARIA;MANANA UNICA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COLEGIO INGLATERRA REAL DE CHAPINERO;KR 14 A 57 29;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;SOCIEDAD;A
BOGOTA D.C.;BOGOTA D.C.;COLEGIO SAN ANGEL SALITRE (ANTIGUO COLEGIO SAN ANGEL);CL 22 B 44 A 90;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMNASIO SERES Y SABERES;KR 50 57 B 06;MIXTO;PREESCOLAR  BASICA PRIMARIA;COMPLETA;;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;COL LATINO FRANCES                                                                                  ;CR. 16 NO.33-80;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;LIC DE LA UNIVERSIDAD CATOLICA                                                                      ;KR 15 46 69;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;FUNDACION O CORPORACIONES;A
BOGOTA D.C.;BOGOTA D.C.;INST DE CAPACITACION PARA EL TRABAJO;CL 63 22 39;MIXTO;MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;MANANA NOCTURNA FIN DE SEMANA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;GIMN NICOLAS DE FEDERMAN                                                                            ;CL 61 37 05;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;INGLES;PERSONA NATURAL;A
BOGOTA D.C.;BOGOTA D.C.;INST PEDAG ARTURO RAMIREZ MONTUFAR                                                                  ;KR 30 45 03 ED 431;MIXTO;PREESCOLAR MEDIA  BASICA SECUNDARIA  BASICA PRIMARIA;COMPLETA;;REGIMEN ESPECIAL;A
